Project title,Project objectives / purpose,Start Date,End Date,NDP Pillar,Primary Sector,Links to other Sector,Reporting Agency,Funders,Implementers,Implementer Category,Project Value (USD),2015 Disbursements (USD),2016 Disbursements (USD),2017 Disbursements (USD),Sum 2015-17,Links to project webpages or documents,Gender,Capacity building,Stabilization,FGS,Benadir,Galmudug,Hiiraan & Middle Shabelle,Jubaland,Puntland,South West,Somaliland,Unattributed,FGS - 2015,Benadir - 2015,Galmudug - 2015,Hiiraan & Middle Shabelle - 2015,Jubaland - 2015,Puntland - 2015,South West - 2015,Somaliland - 2015,Unattributed - 2015,FGS - 2016,Benadir - 2016,Galmudug - 2016,Hiiraan & Middle Shabelle - 2016,Jubaland - 2016,Puntland - 2016,South West - 2016,Somaliland - 2016,Unattributed - 2016,FGS - 2017,Benadir - 2017,Galmudug - 2017,Hiiraan & Middle Shabelle - 2017,Jubaland - 2017,Puntland - 2017,South West - 2017,Somaliland - 2017,Unattributed - 2017
Baraawe airstrip design,Support the interim administrations to develop the core functions of government,Jun-16,Dec-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Kensetsu Kaihatsu Consulting Engineers Limited (KKCEL) in JV with Dhasheeg Trading & Construction Co. Ltd,Private Sector,105671,0,42268,0,42268,,Significant,Principal,Principal,,,,,,,1,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42268,0,0,0,0,0,0,0,0,0,0,0
Water for Peace,Address conflict through peacebuilding and reconciliation and strengthened conflict resolution mechanisms,Jul-15,Jun-16,4. Infrastructural Restoration and Development,Infrastructure,Conflict resolution & mitigation,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",WATERSAN,NGOs,37778,37778,37778,0,75556,,Significant,Principal,Principal,,,,,,1,,,,0,0,0,0,0,37778,0,0,0,0,0,0,0,0,37778,0,0,0,0,0,0,0,0,0,0,0,0
Infrastructure and institution building -Building works ( ISWA),Address the economic and social drivers of conflict and violent extremism,,,4. Infrastructural Restoration and Development,Infrastructure,,SSF,UK CSSF,,Unclear / TBD,980000,490000,490000,0,980000,,Principal,Significant,Significant,,,,,,,1,,,0,0,0,0,0,0,490000,0,0,0,0,0,0,0,0,490000,0,0,0,0,0,0,0,0,0,0,0
Qardho street lighting,Meet public expectations through strengthened community engagement in basic service delivery,Nov-15,Nov-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",SECCCO,NGOs,393301,0,393301,0,393301,,Significant,Significant,Principal,,,,,,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,393301,0,0,0,0,0,0,0,0,0,0,0,0
Stabilisation Plan - Warsheikh/Borehole drilling,"Immediate benefits to vulnerable populations in districts newly recovered from Al Shabbab, in line with the FGS Stabilisation Plan",Feb-16,Mar-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",TBD,Unclear / TBD,25000,0,25000,0,25000,,Significant,Principal,Principal,,,,1,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
construction of girls dorm,,Mar-15,Jun-16,4. Infrastructural Restoration and Development,Infrastructure,,Turkey (2015 data),Turkey,IHH,NGOs,109000,50000,59000,0,109000,,,,,,1,,,,,,,,0,50000,0,0,0,0,0,0,0,0,59000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Construction of Somali Civil Aviation Education Center,,Jan-15,Dec-15,4. Infrastructural Restoration and Development,Infrastructure,,Turkey (2015 data),Turkey,TİKA,Bilateral Agency,700000,350000,0,0,350000,,,,,1,,,,,,,,,350000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Other construction supplies,,Jan-15,Sep-15,4. Infrastructural Restoration and Development,Infrastructure,,Turkey (2015 data),Turkey,KIZILAY,NGOs,50000,50000,0,0,50000,,,,,,1,,,,,,,,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
support to Mogadishu Municipality - 1,11 garbage truck was hand overed to Mogadishu municipality,Jan-15,Sep-15,4. Infrastructural Restoration and Development,Infrastructure,,Turkey (2015 data),Turkey,KIZILAY,NGOs,1000000,1000000,0,0,1000000,,,,,,1,,,,,,,,0,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vocational School Construction,350 Student capacity vocational school in Mogadishu,Jun-15,Nov-15,4. Infrastructural Restoration and Development,Infrastructure,,Turkey (2015 data),Turkey,KIZILAY,NGOs,2615000,2615000,0,0,2615000,,,,,,1,,,,,,,,0,2615000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wall Construction,construction of security walls around Somali-Turkey Education and Research Hospital (Erdoğan /ex Digfer Hospital)  ,Jun-15,Nov-15,4. Infrastructural Restoration and Development,Infrastructure,,Turkey (2015 data),Turkey,TİKA,Bilateral Agency,1450000,1450000,0,0,1450000,,,,,,1,,,,,,,,0,1450000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Water Well drill,"Farowyn, Somaliland",Jan-15,Sep-15,4. Infrastructural Restoration and Development,Infrastructure,,Turkey (2015 data),Turkey,TİKA,Bilateral Agency,300000,300000,0,0,300000,,,,,,,,,,,,1,,0,0,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Design, Construction, and Connection of Hora Hadley Well Field and Transmission Facilities and Small Water Distribution System in Dar es Salaam Village, Somaliland. Amendment 1 for Supply of Water Pipes, Valves and Accessories for Hargeisa Urban Water Supply Project","This project aims to increase the water supply for Hargeisa, Somaliland through the drilling of 3 new boreholes at the Hora Haadley aquifer and connecting them to the existing pipe network at Geed Deeble for the transmission to Hargeisa.  The revised scope further contributes to the ongoing activities of the Hargeisa Urban Water Supply Upgrading Project and its expanded scope, through the supply of pipes, fittings and valves required for the upgrading of the Ged Deeble – Hargeisa Main Pipeline.  ",Aug-14,Nov-16,4. Infrastructural Restoration and Development,Infrastructure,Water,UN-Habitat,Somaliland Development Fund,UN-Habitat,UN,8602000,7719710,882290,0,8602000,,Significant,Significant,Not targeted,,,,,,,,1,,0,0,0,0,0,0,0,7719710,0,0,0,0,0,0,0,0,882290,0,0,0,0,0,0,0,0,0,0
"Design, Construction, and Connection of Hora Hadley Well Field and Transmission Facilities and Small Water Distribution System in Dar es Salaam Village, Somaliland. Amendment 1 for Supply of Water Pipes, Valves and Accessories for Hargeisa Urban Water Supply Project","This project aims to increase the water supply for Hargeisa, Somaliland through the drilling of 3 new boreholes at the Hora Haadley aquifer and connecting them to the existing pipe network at Geed Deeble for the transmission to Hargeisa.  The revised scope further contributes to the ongoing activities of the Hargeisa Urban Water Supply Upgrading Project and its expanded scope, through the supply of pipes, fittings and valves required for the upgrading of the Ged Deeble – Hargeisa Main Pipeline.  ",Aug-14,Nov-16,4. Infrastructural Restoration and Development,Infrastructure,Water,UN-Habitat,Somaliland Development Fund,UN-Habitat,UN,8602000,7719710,882290,0,8602000,,Significant,Significant,Not targeted,,,,,,,,1,,0,0,0,0,0,0,0,7719710,0,0,0,0,0,0,0,0,882290,0,0,0,0,0,0,0,0,0,0
Bossaso Port and Roads Infrastructure Upgrading Project,"1. Durable and sustainable transport infrastructure developed around the port of Bossaso 2. Business environment improved through reduced transport costs and port turnover time 3. Improved planning standards demonstrated and applied by local authority 4. Employment opportunities and livelihoods improved, in particular for vulnerable urban communities",Jan-13,Jul-15,4. Infrastructural Restoration and Development,Infrastructure,,UN-Habitat,Italian Development Cooperation,UN-Habitat,UN,2800000,198448,0,0,198448,,Not targeted,Significant,Not targeted,,,,,,1,,0,,0,0,0,0,0,198448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mogadishu Clean-Up Support Project,"This Project Initiation Plan (PIP) is intended to initiate a clean-up operation in selected districts of Mogadishu City. In addition to significant environmental health and access benefits, the project will also create short-term employment. The project has a complementary public outreach and awareness component that will be essential to improving urban waste management practices.",Oct-14,Jul-15,4. Infrastructural Restoration and Development,Infrastructure,,UNDP,UNDP,UNDP,UN,594150,506638,90000,0,596638,http://www.so.undp.org/,Significant,Significant,Significant,,1,,,,,,,,0,506638,0,0,0,0,0,0,0,0,90000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conflict Prevention and Social Stabilisation Project through Gender Sensitive Bossasso Market Rehabilitation and Entrepreneurship Development,"This project aims to improve basic infrastructure of a market area in Bossasso in Somalia, particularly targeting gender mainstreaming in the infrastructure design. Also this project will provide capacity building activities for traders, mostly female, in the market for improving their livelihood.",Apr-15,Jul-16,4. Infrastructural Restoration and Development,Infrastructure,,UNOPS,Government of Japan,UNOPS,UN,2650000,739583,1910417,0,2650000,,Principal,Significant,Not targeted,,,,,,1,,,,0,0,0,0,0,739583,0,0,0,0,0,0,0,0,1910417,0,0,0,0,0,0,0,0,0,0,0,0
Upgrading of Bossaso Airport,"The project objectives include upgrading of the existing aerodrome to paved standards complete with surface markings and signs, with paved runway measuring 2400m long; construction of drainage system and a perimeter fence to ICAO Code 4C.",Sep-13,Sep-16,4. Infrastructural Restoration and Development,Infrastructure,,UNOPS,"UNOPS, Government of Italy",UNOPS,UN,8584804,6944946,481082,0,7426028,,Not targeted,Significant,Significant,,,,,,1,,0,,0,0,0,0,0,6944946,0,0,0,0,0,0,0,0,481082,0,0,0,0,0,0,0,0,0,0,0,0
Boosting Economic Development by Improving North South Connectivity through the rehabilitation of the Garowe City - Garowe Airport Road,"This project aims to provide access to markets and basic social services, improve capacity of the local authorities and contractors engaged in the rehabilitation and improve security, safety, trade and development to the communities along the 16 km road and with assessments over a lenth of 500km of road, for future planning of repair by others.",Apr-14,Mar-15,4. Infrastructural Restoration and Development,Infrastructure,,UNOPS,Government of Japan,UNOPS,UN,1000000,279589,6010,0,285599,,Not targeted,Significant,Significant,,,,,,1,,,,0,0,0,0,0,279589,0,0,0,0,0,0,0,0,6010,0,0,0,0,0,0,0,0,0,0,0,0
Towage Services in Berbera Port,"Support the development of the Berbera Port by improving throughput, towage capacity and reliability of towage services.  ",Aug-14,Dec-16,4. Infrastructural Restoration and Development,Infrastructure,,WB,"WB SPF, DFID",Government counterparts,Government,4900000,0,4900000,0,4900000,,Not targeted,Significant,Not targeted,,,,,,,,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4900000,0,0,0,0,0,0,0,0,0,0
ICT Sector Support - Phase I,Contribute towards the process of developing a regulatory framework for the telecommunications sector and building an ICT infrastructure in Somalia,Mar-14,Mar-16,4. Infrastructural Restoration and Development,Infrastructure,,WB,"Phase 1: WB SPF Phase 2: MPF Donors (Denmark, EU, Finland, Italy, Norway, Sweden, Switzerland, SPF, UK) ","Government counterparts, AfricaConnect, WB",Government & IFI,2000000,1500000,250000,0,1750000,http://blogs.worldbank.org/ic4d/supporting-ict-sector-somalia ,Not targeted,Significant,NA – not screened ,0.86,,,,,0.07,,0.07,,1290000,0,0,0,0,105000,0,105000,0,215000,0,0,0,0,17500,0,17500,0,0,0,0,0,0,0,0,0,0
Water Well drill - 1,"especially for the schools, hospitals and mosques",Jan-15,Sep-15,4. Infrastructural Restoration and Development,Infrastructure,,Turkey (2015 data),Turkey,YARDIMELİ NGO,NGOs,50000,50000,0,0,50000,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,50000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Transport Delivery and Installation of Solar Street Lighting at Various (12) Locations in Galkayo and Bosaso,Meet public expectations through strengthened community engagement in basic service delivery,Dec-15,Aug-16,4. Infrastructural Restoration and Development,Infrastructure,,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Rajab Energy and Construction Company,NGOs,352415,0,352415,0,352415,,Significant,Significant,Principal,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,352415,0,0,0,0,0,0,0,0,0
Special Financing Facility (SFF),,Aug-13,Nov-15,4. Infrastructural Restoration and Development,Infrastructure,,Norway,Norway,"FGS, Monitoring Agent and oversight",Government,0,3827160,0,0,3827160,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,3827160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Research - 2,Address conflict through peacebuilding and reconciliation and strengthened conflict resolution mechanisms,Aug-15,Aug-17,"1. Peace, security, and rule of law",Inclusive Politics,Inclusive political dialogue and social reconciliation,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",OCVP,Academic / Research Institutions,698160,144775,317590,380570,842935,,Significant,Principal,Significant,,,,,,0.5,,0.5,,0,0,0,0,0,72388,0,72388,0,0,0,0,0,0,158795,0,158795,0,0,0,0,0,0,190285,0,190285,0
Beneficiary Feedback System,Address the economic and social drivers of conflict and violent extremism,Aug-14,Aug-16,"1. Peace, security, and rule of law",Inclusive Politics,Inclusive political dialogue and social reconciliation,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway",Shaqodoon,NGOs,351110,0,319136,0,319136,,Significant,Significant,Significant,,,,,,0.5,,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159568,0,159568,0,0,0,0,0,0,0,0,0,0
Research - 1,Address conflict through peacebuilding and reconciliation and strengthened conflict resolution mechanisms,Jul-15,Jul-16,"1. Peace, security, and rule of law",Inclusive Politics,Inclusive political dialogue and social reconciliation,SSF,"UK, Sweden, Denmark, EU, Netherlands and Norway","RVI, PSU & UoH",Academic / Research Institutions,761622,0,284864,0,284864,,Significant,Principal,Significant,,,,,,0.5,,0.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142432,0,142432,0,0,0,0,0,0,0,0,0,0
SMS Feedback beneficiary system,Address the economic and social drivers of conflict and violent extremism,,,"1. Peace, security, and rule of law",Inclusive Politics,Inclusive political dialogue and social reconciliation,SSF,Pooled,,Unclear / TBD,200000,0,0,200000,200000,,Principal,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200000
CSC work,Address the economic and social drivers of conflict and violent extremism,,,"1. Peace, security, and rule of law",Inclusive Politics,Inclusive political dialogue and social reconciliation,SSF,UK CSSF,,Unclear / TBD,40000,0,0,637956,637956,,Principal,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,637956
"Supporting freedom of speech, journalism and public broadcasting in Somalia","Equipment support to FGS Ministry of Information, tourism and culture, trainings for journalists and security actors in Mogadishu, Garowe and Hargeisa, promoting the role of SNTV as a public service broadcaster",Jan-14,Dec-16,"1. Peace, security, and rule of law",Inclusive Politics,Inclusive political dialogue and social reconciliation,Finland,Finland,"VIKES, Ministry of Information, Culture and Tourism FGS, Somaliland and Puntland",NGOs,839678,122967,128728,0,251695,http://vikes.fi/en/,Significant,Principal,Not Targeted,0.7,,,,,0.15,,0.15,,86076.66667,0,0,0,0,18445,0,18445,0,90109,0,0,0,0,19309,0,19309,0,0,0,0,0,0,0,0,0,0
Human rights,,Aug-15,Dec-17,"1. Peace, security, and rule of law",Inclusive Politics,Other,Netherlands,Netherlands,FPU,NGOs,555556,0,277778,0,277778,,Principal,Significant,Significant,,0.068,0.06,0.068,0.068,0.3345,0.068,0.3335,,0,0,0,0,0,0,0,0,0,0,18889,16667,18889,18889,92917,18889,92639,0,0,0,0,0,0,0,0,0,0
Strengthening Somali Media - training of journalists,,Jan-15,Dec-17,"1. Peace, security, and rule of law",Inclusive Politics,Inclusive political dialogue and social reconciliation,Netherlands,Netherlands,Free Press Unlimited,NGOs,542584,88889,222222,222222,533333,,Principal,Significant,Significant,,,,,,,,,1,0,0,0,0,0,0,0,0,88889,0,0,0,0,0,0,0,0,222222,0,0,0,0,0,0,0,0,222222
Life & Peace Institute´s Conflict Transformation,"The objectives of the LPI Conflict Transformation Programme (2013-2016) contributes towards the achievement of sustainable peace, security and development in the Great Lakes and Horn of Africa region.       ",Mar-13,Dec-16,"1. Peace, security, and rule of law",Inclusive Politics,Other,Sweden,Sweden,Life and Peace Institute,NGOs,2823929,1038214,595238,0,1633452,,NA – not screened ,NA – not screened ,NA – not screened ,,,,,,,,,1,0,0,0,0,0,0,0,0,1038214,0,0,0,0,0,0,0,0,595238,0,0,0,0,0,0,0,0,0
